file_name	collection_name	collection_id	selectable	custom_coverage	open_access	collection_url	record_count
degruyter_global_0003-9144_2021-09-07.txt	Archiv für Hygiene und Bakteriologie : Forschungsarbeiten aus Hygiene u. Mikrobiologie einschl. öffentl. Gesundheitspflege, Gewerbehygiene u. Sozialhygiene	LAHB-B	yes	no	no		1
degruyter_global_0005-6995_2021-09-07.txt	Abhandlungen der Bayerischen Akademie der Wissenschaften. Mathematisch-Naturwissenschaftliche Abteilung : Neue Folge	AAW NF-B	yes	no	no		10
degruyter_global_0066-5576_2021-09-07.txt	Approaches to Semiotics [AS]	APPS-B	yes	no	no		116
degruyter_global_0067-6071_2021-09-07.txt	Veröffentlichungen der Historischen Kommission zu Berlin	VHKB-B	yes	no	no		115
degruyter_global_0069-4290_2021-09-07.txt	Civilisations et Sociétés	CISO-B	yes	no	no		65
degruyter_global_0070-0347_2021-09-07.txt	Corpus Medicorum Graecorum	CMG-B	yes	no	no		19
degruyter_global_0070-0355_2021-09-07.txt	Corpus Medicorum Latinorum	CML-B	yes	no	no		6
degruyter_global_0070-4156_2021-09-07.txt	Bibliothek des Deutschen Historischen Instituts in Rom	BDHI-B	yes	no	no		23
degruyter_global_0070-4334_2021-09-07.txt	Deutsche Texte des Mittelalters	DTM-B	yes	no	no		1
degruyter_global_0071-2116_2021-09-07.txt	Etudes juives / École pratique des hautes études - Sorbonne. 6. section: Sciences économiques et sociales	EPHE EJ-B	yes	no	no		3
degruyter_global_0071-4402_2021-09-07.txt	FEBS symposium / Federation of European Biochemical Societies	FEBS-B	yes	no	no		1
degruyter_global_0072-9469_2021-09-07.txt	Mitteilungen aus dem Museum für Völkerkunde in Hamburg	MMVH-B	yes	no	no		6
degruyter_global_0073-1579_2021-09-07.txt	Hegel-Jahrbuch	HEGEL JB-B	yes	no	no		1
degruyter_global_0073-7208_2021-09-07.txt	Indices zur deutschen Literatur	IDL-B	yes	no	no		26
degruyter_global_0076-0129_2021-09-07.txt	Livre et sociétés: Études et mémoires pour servir à l'histoire de la civilisation du livre : Sec. 6, Sciences Economiques et Sociales	LSEMES-B	yes	no	no		2
degruyter_global_0077-7668_2021-09-07.txt	Neudrucke deutscher Literaturwerke. N. F.	NDLNF-B	yes	no	no		75
degruyter_global_0077-7676_2021-09-07.txt	Neudrucke deutscher Literaturwerke : Sonderreihe	NDLS-B	yes	no	no		1
degruyter_global_0077-801X_2021-09-07.txt	New Babylon : Studies in the Social Sciences	NBSSS-B	yes	no	no		38
degruyter_global_0078-9895_2021-09-07.txt	Publications de la Faculté des Lettres et Sciences Humaines de Paris-Sorbonne / Série Recherches	PPSSR-B	yes	no	no		1
degruyter_global_0080-0848_2021-09-07.txt	Religion and Reason : Theory in the Study of Religion	RR-B	yes	no	no		56
degruyter_global_0080-732X_2021-09-07.txt	Schriften der Schweizerischen Gesellschaft für Volkskunde	SSGV-B	yes	no	no		1
degruyter_global_0081-6469_2021-09-07.txt	Studia grammatica	STGR-B	yes	no	no		48
degruyter_global_0081-7236_2021-09-07.txt	Studien zur deutschen Literatur	STDL-B	yes	no	no		149
degruyter_global_0081-7244_2021-09-07.txt	Studien zur englischen Philologie. Neue Folge	STEPH-B	yes	no	no		37
