PUBLICATION_TITLE	PRINT_IDENTIFIER	ONLINE_IDENTIFIER	DATE_FIRST_ISSUE_ONLINE	NUM_FIRST_VOL_ONLINE	NUM_FIRST_ISSUE_ONLINE	DATE_LAST_ISSUE_ONLINE	NUM_LAST_VOL_ONLINE	NUM_LAST_ISSUE_ONLINE	TITLE_URL	FIRST_AUTHOR	TITLE_ID	EMBARGO_INFO	COVERAGE_DEPTH	NOTES	PUBLISHER_NAME	PUBLICATION_TYPE	DATE_MONOGRAPH_PUBLISHED_PRINT	DATE_MONOGRAPH_PUBLISHED_ONLINE	MONOGRAPH_VOLUME	MONOGRAPH_EDITION	FIRST_EDITOR	PARENT_PUBLICATION_TITLE_ID	PRECEDING_PUBLICATION_TITLE_ID	ACCESS_TYPE
Killy Literaturlexikon			2010-11-22						https://doi.org/10.1515/killy		193614		fulltext		De Gruyter	database								P
Klemperer Online			2019-03-20						https://doi.org/10.1515/klemp		157172		fulltext		De Gruyter Oldenbourg	database								P
Kürschners Deutscher Gelehrten-Kalender Online		2193-2786	2010-11-16						https://doi.org/10.1515/KDGO		40110		fulltext		De Gruyter	database								P
Language in Australia and New Zealand		1862-8133	2010-03-15						https://doi.org/10.1515/AUSBIB		40116		fulltext		De Gruyter Mouton	database								F
Leipziger Kommentar StGB Online 		2198-5146	2014-11-01						https://doi.org/10.1515/lko		103443		fulltext		De Gruyter	database								P
Lexikon der Bibelhermeneutik			2012-07-20						https://doi.org/10.1515/bibherm		193610		fulltext		De Gruyter	database								P
Linguistic Minorities in Europe Online		2510-5361	2020-07-31						https://doi.org/10.1515/LME		147785		fulltext		De Gruyter Mouton	database								P
Löwe-Rosenberg StPO Online		2198-5170	2014-11-01						https://doi.org/10.1515/lro		103449		fulltext		De Gruyter	database								P
Museums of the World			2021-02-01						https://doi.org/10.1515/mow		193630		fulltext		De Gruyter	database								P
Nietzsche Online 		2193-3057	2011-01-28						https://doi.org/10.1515/nietzsche		20048		fulltext		De Gruyter	database								P
Physik Online		2511-2287	2018-03-31						https://doi.org/10.1515/physiko		148706		fulltext		De Gruyter	database								P
Prosopographie der mittelbyzantinischen Zeit Online			2013-04-30						https://doi.org/10.1515/pmbz		82711		fulltext		De Gruyter	database								F
Religion and Urbanity Online			2020-08-31						https://doi.org/10.1515/urbrel		169198		fulltext		De Gruyter	database								F
Romanische Bibliographie Online Datenbank		2193-3030	2010-11-30						https://doi.org/10.1515/rom		19727		fulltext		De Gruyter	database								P
Staub HGB Online		2198-5154	2014-11-01						https://doi.org/10.1515/stho		103453		fulltext		De Gruyter	database								P
Theologische Realenzyklopädie Online			2010-10-31						https://doi.org/10.1515/tre		40177		fulltext		De Gruyter	database								P
Thesaurus Linguae Latinae (TLL) Online		2193-4274	2009-07-17						https://tll.degruyter.com		20609		fulltext		De Gruyter	database								P
Tillich Online		2699-2264	2021-09-30						https://www.degruyter.com/document/doi/10.1515/tillo/html		183091		fulltext		De Gruyter	database								P
Treasury of Linguistic Maps Online		2365-2969	2016-03-31						https://doi.org/10.1515/tlm		132077		fulltext		De Gruyter Mouton	database								P
Verfasser-Datenbank  		2193-3073	2012-07-07						https://doi.org/10.1515/vdbo		35165		fulltext		De Gruyter	database								P
World Guide to Libraries			2021-02-01						https://doi.org/10.1515/wgtl		193632		fulltext		De Gruyter	database								P
Wörterbücher zur Sprach- und Kommunikationswissenschaft (WSK) Online			2013-01-15						https://doi.org/10.1515/wsk		64459		fulltext		De Gruyter	database								P
