PUBLICATION_TITLE	PRINT_IDENTIFIER	ONLINE_IDENTIFIER	DATE_FIRST_ISSUE_ONLINE	NUM_FIRST_VOL_ONLINE	NUM_FIRST_ISSUE_ONLINE	DATE_LAST_ISSUE_ONLINE	NUM_LAST_VOL_ONLINE	NUM_LAST_ISSUE_ONLINE	TITLE_URL	FIRST_AUTHOR	TITLE_ID	EMBARGO_INFO	COVERAGE_DEPTH	NOTES	PUBLISHER_NAME	PUBLICATION_TYPE	DATE_MONOGRAPH_PUBLISHED_PRINT	DATE_MONOGRAPH_PUBLISHED_ONLINE	MONOGRAPH_VOLUME	MONOGRAPH_EDITION	FIRST_EDITOR	PARENT_PUBLICATION_TITLE_ID	PRECEDING_PUBLICATION_TITLE_ID	ACCESS_TYPE	OCLC_NUMBER
A Brief Welcome to the Universe		9780691223612							https://www.degruyter.com/openurl?genre=book&isbn=9780691223612	Strauss	9780691223612		fulltext		Princeton University Press	monograph	2021	2021						P	
A Concise History of Solar and Stellar Physics		9781400865390							https://www.degruyter.com/openurl?genre=book&isbn=9781400865390	Tassoul	9781400865390		fulltext		Princeton University Press	monograph	2004	2014						P	897033281
A Course in Mathematical Cryptography	9783110372762	9783110372779							https://www.degruyter.com/openurl?genre=book&isbn=9783110372779	Baumslag	9783110372779		fulltext		De Gruyter	monograph	2015	2015						P	927947377
A Course on Surgery Theory		9780691200354							https://www.degruyter.com/openurl?genre=book&isbn=9780691200354	Chang	9780691200354		fulltext		Princeton University Press	monograph	2021	2021						P	1228034730
A Hierarchy of Turing Degrees		9780691200217							https://www.degruyter.com/openurl?genre=book&isbn=9780691200217	Downey	9780691200217		fulltext		Princeton University Press	monograph	2020	2020						P	1196361575
A History in Sum		9780674726550							https://www.degruyter.com/openurl?genre=book&isbn=9780674726550	Nadis	9780674726550		fulltext		Harvard University Press	monograph	2013	2013						P	979755747
A Mathematical Theory of Evidence		9780691214696							https://www.degruyter.com/openurl?genre=book&isbn=9780691214696	Shafer	9780691214696		fulltext		Princeton University Press	monograph	1976	2021						P	1248759935
A Model of Simple Competition	9780674430488	9780674430495							https://www.degruyter.com/openurl?genre=book&isbn=9780674430495	Cohen	9780674430495		fulltext		Harvard University Press	monograph	1966	2013		Reprint 2014				P	900845848
A Palette of Particles		9780674073623							https://www.degruyter.com/openurl?genre=book&isbn=9780674073623	Bernstein	9780674073623		fulltext		Harvard University Press	monograph	2013	2013						P	979574297
A Physicist on Madison Avenue		9781400887101							https://www.degruyter.com/openurl?genre=book&isbn=9781400887101	Rothman	9781400887101		fulltext		Princeton University Press	monograph	1991	2017						P	973772169
