PUBLICATION_TITLE	PRINT_IDENTIFIER	ONLINE_IDENTIFIER	DATE_FIRST_ISSUE_ONLINE	NUM_FIRST_VOL_ONLINE	NUM_FIRST_ISSUE_ONLINE	DATE_LAST_ISSUE_ONLINE	NUM_LAST_VOL_ONLINE	NUM_LAST_ISSUE_ONLINE	TITLE_URL	FIRST_AUTHOR	TITLE_ID	EMBARGO_INFO	COVERAGE_DEPTH	NOTES	PUBLISHER_NAME	PUBLICATION_TYPE	DATE_MONOGRAPH_PUBLISHED_PRINT	DATE_MONOGRAPH_PUBLISHED_ONLINE	MONOGRAPH_VOLUME	MONOGRAPH_EDITION	FIRST_EDITOR	PARENT_PUBLICATION_TITLE_ID	PRECEDING_PUBLICATION_TITLE_ID	ACCESS_TYPE	OCLC_NUMBER
A Chance		9781637790168							https://www.degruyter.com/openurl?genre=book&isbn=9781637790168		9781637790168		fulltext		Penn State University Press	monograph	2021	2021						P	
A Handbook of Gods and Goddesses of the Ancient Near East		9781646021291							https://www.degruyter.com/openurl?genre=book&isbn=9781646021291	Stuckey	9781646021291		fulltext		Penn State University Press	monograph	2021	2021						P	1237408826
A New Handbook of Rhetoric		9780271091532							https://www.degruyter.com/openurl?genre=book&isbn=9780271091532		9780271091532		fulltext		Penn State University Press	monograph	2021	2021			Kennerly			P	
A Sensory History Manifesto		9780271092737							https://www.degruyter.com/openurl?genre=book&isbn=9780271092737	Smith	9780271092737		fulltext		Penn State University Press	monograph	2021	2021						P	
A Voice Without End		9781646021628							https://www.degruyter.com/openurl?genre=book&isbn=9781646021628	Witt	9781646021628		fulltext		Penn State University Press	monograph	2021	2021						P	
Age of Empires		9781646021741							https://www.degruyter.com/openurl?genre=book&isbn=9781646021741	Lipschits	9781646021741		fulltext		Penn State University Press	monograph	2021	2021						P	
Air-Conditioning in Modern American Architecture, 1890–1970		9780271089256							https://www.degruyter.com/openurl?genre=book&isbn=9780271089256	Siry	9780271089256		fulltext		Penn State University Press	monograph	2021	2021						P	1227382213
An Artful Relic		9780271091082							https://www.degruyter.com/openurl?genre=book&isbn=9780271091082	Casper	9780271091082		fulltext		Penn State University Press	monograph	2021	2021						P	
Arguing with Numbers		9780271089232							https://www.degruyter.com/openurl?genre=book&isbn=9780271089232		9780271089232		fulltext		Penn State University Press	monograph	2021	2021			Reyes			P	
As Above, So Below		9781646021536							https://www.degruyter.com/openurl?genre=book&isbn=9781646021536		9781646021536		fulltext		Penn State University Press	monograph	2021	2021			Zaia			P	
Banning Black Gods		9780271089645							https://www.degruyter.com/openurl?genre=book&isbn=9780271089645	Boaz	9780271089645		fulltext		Penn State University Press	monograph	2021	2021						P	1242106232
Camels in the Biblical World		9781646021703							https://www.degruyter.com/openurl?genre=book&isbn=9781646021703	Heide	9781646021703		fulltext		Penn State University Press	monograph	2021	2021						P	
Caricature and National Character		9780271089928							https://www.degruyter.com/openurl?genre=book&isbn=9780271089928	Gilbert	9780271089928		fulltext		Penn State University Press	monograph	2021	2021						P	
Christian Interculture		9780271090047							https://www.degruyter.com/openurl?genre=book&isbn=9780271090047		9780271090047		fulltext		Penn State University Press	monograph	2021	2021			Jones			P	1240556797
Classical Ethiopic		9781646021260							https://www.degruyter.com/openurl?genre=book&isbn=9781646021260	Hasselbach-Andee	9781646021260		fulltext		Penn State University Press	monograph	2021	2021						P	1253313170
Consuming Painting		9780271089959							https://www.degruyter.com/openurl?genre=book&isbn=9780271089959	Deutsch	9780271089959		fulltext		Penn State University Press	monograph	2021	2021						P	
