file_name	collection_name	collection_id	selectable	custom_coverage	open_access	collection_url	record_count
degruyter_global_0340-6059_2022-01-11.txt	Kantstudien-Ergänzungshefte	KSEH-B	yes	no	no		108
degruyter_global_0340-6709_2022-01-11.txt	Beiträge zum ausländischen und internationalen Privatrecht	BAIPR-B	yes	no	no		22
degruyter_global_0342-3948_2022-01-11.txt	Jahrbuch des Deutschen Archäologischen Instituts - Ergänzungshefte	JDAIERG-B	yes	no	no		8
degruyter_global_0342-5363_2022-01-11.txt	Historische Zeitschrift / Beihefte	HZB-B	yes	no	no		70
degruyter_global_0342-5940_2022-01-11.txt	Wolfenbütteler Studien zur Aufklärung	WSTZA-B	yes	no	no		26
degruyter_global_0342-6661_2022-01-11.txt	Altdeutsche Textbibliothek	ATB-B	yes	no	no		185
degruyter_global_0343-0529_2022-01-11.txt	Einzelveröffentlichungen der Historischen Kommission zu Berlin	EVHKB-B	yes	no	no		8
degruyter_global_0344-1806_2022-01-11.txt	Militärgeschichte seit 1945	MG-B	yes	no	no		2
degruyter_global_0344-6638_2022-01-11.txt	Sammlung kurzer Lehrbücher der romanischen Sprachen und Literaturen	SKL-B	yes	no	no		5
degruyter_global_0344-6646_2022-01-11.txt	Sammlung kurzer Grammatiken germanischer Dialekte. A: Hauptreihe	SKGGDA-B	yes	no	no		12
degruyter_global_0344-6654_2022-01-11.txt	Sammlung kurzer Grammatiken germanischer Dialekte. B: Ergänzungsreihe	SKGGDB-B	yes	no	no		4
degruyter_global_0344-6662_2022-01-11.txt	Sammlung kurzer Grammatiken germanischer Dialekte. C: Abrisse	SKGGDC-B	yes	no	no		4
degruyter_global_0344-6697_2022-01-11.txt	Germanistische Arbeitshefte	GA-B	yes	no	no		33
degruyter_global_0344-6719_2022-01-11.txt	Idiomatica : Veröffentlichungen der Tübinger Arbeitstelle "Sprache in Südwestdeutschland"	IDIO-B	yes	no	no		6
degruyter_global_0344-6727_2022-01-11.txt	Linguistische Arbeiten	LA-B	yes	no	no		553
degruyter_global_0344-6735_2022-01-11.txt	Konzepte der Sprach- und Literaturwissenschaft	KONZ-B	yes	no	no		54
degruyter_global_0344-6751_2022-01-11.txt	Sammlung romanischer Übungstexte	SRUE-B	yes	no	no		6
degruyter_global_0344-676X_2022-01-11.txt	Romanistische Arbeitshefte	RA-B	yes	no	no		72
degruyter_global_0344-6778_2022-01-11.txt	Reihe Germanistische Linguistik	RGL-B	yes	no	no		315
degruyter_global_0344-6786_2022-01-11.txt	Freies Deutsches Hochstift : Reihe der Schriften	FDH-B	yes	no	no		3
degruyter_global_0344-6891_2022-01-11.txt	IFLA Publications	IFLA-B	yes	no	no		126
degruyter_global_0344-8142_2022-01-11.txt	Quellen und Studien zur Philosophie	QSTPH-B	yes	no	no		147
degruyter_global_0401-0965_2022-01-11.txt	Aktuelle Fragen der Inneren Medizin	AFIM-B	yes	no	no		4
degruyter_global_0417-9994_2022-01-11.txt	Dortmunder Beiträge zur Zeitungsforschung	DBZ-B	yes	no	no		54
degruyter_global_0418-8926_2022-01-11.txt	Deutsche Neudrucke / Reihe Barock : Weltliche Liederdichter des 17. Jahrhunderts	DNB-B	yes	no	no		29
degruyter_global_0418-9159_2022-01-11.txt	Deutsche Texte	DT-B	yes	no	no		44
degruyter_global_0431-7149_2022-01-11.txt	Gutachten des Wissenschaftlichen Beirats beim Bundesministerium für Wirtschaft und Technologie	GDWB-B	yes	no	no		6
degruyter_global_0440-7164_2022-01-11.txt	Hermaea. Neue Folge : Germanistische Forschungen	HERMAEA-B	yes	no	no		113
degruyter_global_0479-5997_2022-01-11.txt	Pariser Historische Studien	PHS-B	yes	no	no		58
degruyter_global_0481-3545_2022-01-11.txt	Quellen und Darstellungen zur Zeitgeschichte	QUD-B	yes	no	no		112
degruyter_global_0481-3553_2022-01-11.txt	Quellen und Forschungen zur Agrargeschichte	QFA-B	yes	no	no		48
degruyter_global_0502-7012_2022-01-11.txt	Untersuchungen zur Assyriologie und vorderasiatischen Archäologie : Ergänzungsbände zur Zeitschrift für Assyriologie und Vorderasiatische Archäologie	UAVA-B	yes	no	no		17
degruyter_global_0506-9408_2022-01-11.txt	Schriftenreihe der Vierteljahrshefte für Zeitgeschichte	SVZ-B	yes	no	no		121
degruyter_global_0537-7900_2022-01-11.txt	Jahrbuch des Instituts für Deutsche Sprache	IDS-B	yes	no	no		32
degruyter_global_0543-4726_2022-01-11.txt	Der Mensch als soziales und personales Wesen	MSPW-B	yes	no	no		13
degruyter_global_0544-4128_2022-01-11.txt	Miscellanea Mediaevalia : Veröffentlichungen des Thomas-Instituts der Universität Köln	MM-B	yes	no	no		46
degruyter_global_0553-4003_2022-01-11.txt	Patristische Texte und Studien	PTS-B	yes	no	no		73
degruyter_global_0563-3087_2022-01-11.txt	Texte und Kommentare : Eine altertumswissenschaftliche Reihe	TUK-B	yes	no	no		67
degruyter_global_0563-4288_2022-01-11.txt	Theologische Bibliothek Töpelmann	TBT-B	yes	no	no		183
degruyter_global_0570-5509_2022-01-11.txt	Arbeiten zur neutestamentlichen Textforschung	ANTF-B	yes	no	no		52
degruyter_global_0580-2091_2022-01-11.txt	Veröffentlichungen des Grabmann-Institutes zur Erforschung der mittelalterlichen Theologie und Philosophie : Münchener Universitätsschriften / Katholisch-Theologische Fakultät	VGI-B	yes	no	no		25
degruyter_global_0582-0243_2022-01-11.txt	Schriften zum Vergleich von Wirtschaftsordnungen	SVWO-B	yes	no	no		13
degruyter_global_0585-5306_2022-01-11.txt	Studia Judaica : Forschungen zur Wissenschaft des Judentums	STJ-B	yes	no	no		105
degruyter_global_0585-6035_2022-01-11.txt	Studien zur Germania Sacra. Neue Folge	GERMANI ST-B	yes	no	no		11
degruyter_global_0589-249X_2022-01-11.txt	Congrès et Colloques	CONGCOL-B	yes	no	no		11
degruyter_global_0589-8072_2022-01-11.txt	Corpus Medicorum Graecorum – Supplementum Orientale	CMGSO-B	yes	no	no		3
degruyter_global_0722-4257_2022-01-11.txt	Datenverarbeitung im Recht (DVR) / Beiheft : Archiv für die gesamte Wissenschaft der Rechtsinformatik, der Rechtskybernetik und der Datenverarbeitung in Recht und Verwaltung	DVR BH-B	yes	no	no		6
degruyter_global_0768-0686_2022-01-11.txt	Archives positivistes	ARCHP-B	yes	no	no		5
degruyter_global_0926-5147_2022-01-11.txt	Functional Grammar Series [FGS]	FGS-B	yes	no	no		26
degruyter_global_0930-4304_2022-01-11.txt	Abhandlungen der Akademie der Wissenschaften zu Göttingen. Neue Folge	ADW-B	yes	no	no		54
degruyter_global_0930-486X_2022-01-11.txt	Zeitschrift für Kristallographie / Supplemente	ZKSU-B	yes	no	no		16
degruyter_global_0931-4261_2022-01-11.txt	Buchreihe der Zeitschrift für celtische Philologie	BZCP-B	yes	no	no		13
degruyter_global_0933-2421_2022-01-11.txt	Canadiana Romanica	CANROM-B	yes	no	no		12
degruyter_global_0933-5080_2022-01-11.txt	Supplementa Byzantina : Texte und Untersuchungen	SPPL BYZ-B	yes	no	no		12
