PUBLICATION_TITLE	PRINT_IDENTIFIER	ONLINE_IDENTIFIER	DATE_FIRST_ISSUE_ONLINE	NUM_FIRST_VOL_ONLINE	NUM_FIRST_ISSUE_ONLINE	DATE_LAST_ISSUE_ONLINE	NUM_LAST_VOL_ONLINE	NUM_LAST_ISSUE_ONLINE	TITLE_URL	FIRST_AUTHOR	TITLE_ID	EMBARGO_INFO	COVERAGE_DEPTH	NOTES	PUBLISHER_NAME	PUBLICATION_TYPE	DATE_MONOGRAPH_PUBLISHED_PRINT	DATE_MONOGRAPH_PUBLISHED_ONLINE	MONOGRAPH_VOLUME	MONOGRAPH_EDITION	FIRST_EDITOR	PARENT_PUBLICATION_TITLE_ID	PRECEDING_PUBLICATION_TITLE_ID	ACCESS_TYPE
ABI Technik	0720-6763	2191-4664	1996-03-01	16	März	2019-12-15	39	4	https://www.degruyter.com/openurl?genre=journal&issn=2191-4664		2191-4664		fulltext		De Gruyter	serial								P
Accounting, Economics, and Law: A Convivium	2194-6051	2152-2820	2011-06-20	1	1	2019-12-10	9	3	https://www.degruyter.com/openurl?genre=journal&issn=2152-2820		2152-2820		fulltext		De Gruyter	serial								P
AfP	0949-2100	2366-0945	2017-02-20	48	1	2019-12-20	50	6	https://www.degruyter.com/openurl?genre=journal&issn=2366-0945		2366-0945		fulltext		Verlag Dr. Otto Schmidt	serial								P
Altorientalische Forschungen	0232-8461	2196-6761	1975-06-20		3	2019-12-15	46	2	https://www.degruyter.com/openurl?genre=journal&issn=2196-6761		2196-6761		fulltext		De Gruyter (A)	serial								P
Analyse & Kritik	0171-5860	2365-9858	1979-05-20	1	1	2019-11-20	41	2	https://www.degruyter.com/openurl?genre=journal&issn=2365-9858		2365-9858		fulltext		De Gruyter Oldenbourg	serial								P
Angermion 	1438-2091	1868-9426	2010-11-19	3	1	2019-11-15		12	https://www.degruyter.com/openurl?genre=journal&issn=1868-9426		1868-9426		fulltext		De Gruyter	yearbook								P
Anglia	0340-5222	1865-8938	1878-01-01	1	1	2019-11-20	137	4	https://www.degruyter.com/openurl?genre=journal&issn=1865-8938		1865-8938		fulltext		De Gruyter	serial								P
Antike und Abendland	0003-5696	1613-0421	1944-01-01		1	2019-11-15		65	https://www.degruyter.com/openurl?genre=journal&issn=1613-0421		1613-0421		fulltext		De Gruyter	yearbook								P
Apeiron	0003-6390	2156-7093	1967-03-01	1	März	2019-10-15	52	4	https://www.degruyter.com/openurl?genre=journal&issn=2156-7093		2156-7093		fulltext		De Gruyter	serial								P
Applied Linguistics Review	1868-6303	1868-6311	2010-05-26	1	1	2019-11-15	10	4	https://www.degruyter.com/openurl?genre=journal&issn=1868-6311		1868-6311		fulltext		De Gruyter Mouton	serial								P
