publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	package_id	status	last_changed
Asian Journal of Law and Economics	2194-6086	2154-4611	2010-06-20	1	1	2019-12-20	10	3	https://www.degruyter.com/openurl?genre=journal&issn=2154-4611		2154-4611		fulltext		De Gruyter	serial								P	JACP19	current	2022-12-02
Asia-Pacific Journal of Risk and Insurance	1793-2157	2153-3792	2005-06-20	1	1	2019-07-31	13	2	https://www.degruyter.com/openurl?genre=journal&issn=2153-3792		2153-3792		fulltext		De Gruyter	serial								P	JACP19	current	2022-12-02
Asiatische Studien - Études Asiatiques	0004-4717	2235-5871	2014-02-28	68	1	2019-11-28	73	4	https://www.degruyter.com/openurl?genre=journal&issn=2235-5871		2235-5871		fulltext		De Gruyter	serial								P	JACP19	current	2022-12-02
at - Automatisierungstechnik	0178-2312	2196-677X	1964-06-20	12	1-12	2019-12-15	67	12	https://www.degruyter.com/openurl?genre=journal&issn=2196-677X		2196-677X		fulltext		De Gruyter (O)	serial								P	JACP19	current	2022-12-02
Basic Income Studies	2194-6094	1932-0183	2006-06-20	1	1	2019-12-01	14	2	https://www.degruyter.com/openurl?genre=journal&issn=1932-0183		1932-0183		fulltext		De Gruyter	serial								P	JACP19	current	2022-12-02
Beiträge zur Geschichte der deutschen Sprache und Literatur	0005-8076	1865-9373	1874-01-01	1	Jahresband	2019-12-20	141	4	https://www.degruyter.com/openurl?genre=journal&issn=1865-9373		1865-9373		fulltext		De Gruyter	serial								P	JACP19	current	2022-12-02
Berliner Theologische Zeitschrift 	0724-6137	2699-3414	2020-10-20		37				https://www.degruyter.com/openurl?genre=journal&issn=2699-3414		2699-3414		fulltext		De Gruyter	yearbook								P	JACP19	current	2022-12-02
Bibliotheksdienst	0006-1972	2194-9646	1697-09-01	1	6	2019-11-26	53	12	https://www.degruyter.com/openurl?genre=journal&issn=2194-9646		2194-9646		fulltext		De Gruyter Saur	serial								F	JACP19	current	2022-12-02
Bio-Algorithms and Med-Systems 	1895-9091	1896-530X	2012-06-20	8	1	2019-12-20	15	4	https://www.degruyter.com/openurl?genre=journal&issn=1896-530X		1896-530X		fulltext		De Gruyter	serial								P	JACP19	current	2022-12-02
Biological Chemistry	1431-6730	1437-4315	1878-01-01	1	1	2019-11-20	400	12	https://www.degruyter.com/openurl?genre=journal&issn=1437-4315		1437-4315		fulltext		De Gruyter	serial								P	JACP19	current	2022-12-02
Biomedical Engineering / Biomedizinische Technik 	0013-5585	1862-278X	1956-01-01	1	1	2019-12-20	64	6	https://www.degruyter.com/openurl?genre=journal&issn=1862-278X		1862-278X		fulltext		De Gruyter	serial								P	JACP19	current	2022-12-02
Botanica Marina	0006-8055	1437-4323	1959-01-01	1	Jan	2019-12-29	62	6	https://www.degruyter.com/openurl?genre=journal&issn=1437-4323		1437-4323		fulltext		De Gruyter	serial								P	JACP19	current	2022-12-02
Byzantinische Zeitschrift	0007-7704	1868-9027	1892-01-01	1	1	2019-11-20	112	4	https://www.degruyter.com/openurl?genre=journal&issn=1868-9027		1868-9027		fulltext		De Gruyter	serial								P	JACP19	current	2022-12-02
Case Reports in Perinatal Medicine	2192-8932	2192-8959	2012-06-20	1	1-2	2019-09-15	8	2	https://www.degruyter.com/openurl?genre=journal&issn=2192-8959		2192-8959		fulltext		De Gruyter	serial								F	JACP19	current	2022-12-02
