publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	package_id	status	last_changed
Monatsschrift für Kriminologie und Strafrechtsreform	0026-9301	2366-1968	2000-02-20	83	1				https://www.degruyter.com/openurl?genre=journal&issn=2366-1968		2366-1968		fulltext		De Gruyter	serial								P	JPLAW23	current	2022-11-11
Muslim World Journal of Human Rights	2194-6558	1554-4419	2004-01-01	1	1				https://www.degruyter.com/openurl?genre=journal&issn=1554-4419		1554-4419		fulltext		De Gruyter	serial								P	JPLAW23	current	2022-11-11
ReiseRecht aktuell	0944-7490	2193-9535	1995-01-24	3	1				https://www.degruyter.com/openurl?genre=journal&issn=2193-9535		2193-9535		fulltext		Verlag Dr. Otto Schmidt	serial								P	JPLAW23	current	2022-11-11
Review of Law & Economics	2194-6000	1555-5879	2005-04-01	1	1				https://www.degruyter.com/openurl?genre=journal&issn=1555-5879		1555-5879		fulltext		De Gruyter	serial								P	JPLAW23	current	2022-11-11
Theoretical Inquiries in Law	1565-1509	1565-3404	2000-01-01	1	1				https://www.degruyter.com/openurl?genre=journal&issn=1565-3404		1565-3404		fulltext		De Gruyter	serial								P	JPLAW23	current	2022-11-11
UbG - Die Unternehmensbesteuerung	1865-7222	2568-3071	2018-01-20	11	1				https://www.degruyter.com/openurl?genre=journal&issn=2568-3071		2568-3071		fulltext		Verlag Dr. Otto Schmidt	serial								P	JPLAW23	current	2022-11-11
UmsatzsteuerRundschau	0341-8669	2194-4180	2005-01-15	54	1				https://www.degruyter.com/openurl?genre=journal&issn=2194-4180		2194-4180		fulltext		Verlag Dr. Otto Schmidt	serial								P	JPLAW23	current	2022-11-11
Zeitschrift der Savigny-Stiftung für Rechtsgeschichte: Germanistische Abteilung	0323-4045	2304-4861	1995-08-20	112	1				https://www.degruyter.com/openurl?genre=journal&issn=2304-4861		2304-4861		fulltext		De Gruyter	serial								P	JPLAW23	current	2022-11-11
Zeitschrift der Savigny-Stiftung für Rechtsgeschichte: Kanonistische Abteilung	0323-4142	2304-4896	1995-06-20	81	1				https://www.degruyter.com/openurl?genre=journal&issn=2304-4896		2304-4896		fulltext		De Gruyter	serial								P	JPLAW23	current	2022-11-11
Zeitschrift der Savigny-Stiftung für Rechtsgeschichte: Romanistische Abteilung	0323-4096	2304-4934	1995-08-20	112	1				https://www.degruyter.com/openurl?genre=journal&issn=2304-4934		2304-4934		fulltext		De Gruyter	serial								P	JPLAW23	current	2022-11-11
Zeitschrift für Arbeitsrecht	0342-328X	2366-2042	2012-03-20	43	1				https://www.degruyter.com/openurl?genre=journal&issn=2366-2042		2366-2042		fulltext		Verlag Dr. Otto Schmidt	serial								P	JPLAW23	current	2022-11-11
Zeitschrift für Bankrecht und Bankwirtschaft	0936-2800	2199-1715	1995-02-15	7	1				https://www.degruyter.com/openurl?genre=journal&issn=2199-1715		2199-1715		fulltext		RWS-Verlag	serial								P	JPLAW23	current	2022-11-11
Zeitschrift für das gesamte Verfahrensrecht – GVRZ		2625-1868	2018-09-20	1	1				https://www.degruyter.com/openurl?genre=journal&issn=2625-1868		2625-1868		fulltext		Verlag Dr. Otto Schmidt	serial								P	JPLAW23	current	2022-11-11
Zeitschrift für das Privatrecht der Europäischen Union	2364-7205	2364-7213	2003-10-24	1	1				https://www.degruyter.com/openurl?genre=journal&issn=2364-7213		2364-7213		fulltext		Verlag Dr. Otto Schmidt	serial								P	JPLAW23	current	2022-11-11
Zeitschrift für die gesamte Strafrechtswissenschaft      	0084-5310	1612-703X	1995-01-01	107	1				https://www.degruyter.com/openurl?genre=journal&issn=1612-703X		1612-703X		fulltext		De Gruyter	serial								P	JPLAW23	current	2022-11-11
Zeitschrift für Konfliktmanagement	1439-2127	2194-4210	2005-02-15	8	1				https://www.degruyter.com/openurl?genre=journal&issn=2194-4210		2194-4210		fulltext		Verlag Dr. Otto Schmidt	serial								P	JPLAW23	current	2022-11-11
Zeitschrift für Unternehmens- und Gesellschaftsrecht	0340-2479	1612-7048	1995-01-01	24	1				https://www.degruyter.com/openurl?genre=journal&issn=1612-7048		1612-7048		fulltext		De Gruyter	serial								P	JPLAW23	current	2022-11-11
Zeitschrift für Wettbewerbsrecht	1611-1982	2199-1723	2003-03-20	1	1				https://www.degruyter.com/openurl?genre=journal&issn=2199-1723		2199-1723		fulltext		RWS-Verlag	serial								P	JPLAW23	current	2022-11-11
