publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	package_name	package_id	last_changed	access_start_date	access_end_date	medium	monograph_parent_collection_title	subject_area	status	listprice_eur	language	doi_identifier
A Carafe of Red		9780520951365							https://www.degruyter.com/openurl?genre=book&isbn=9780520951365	Asher	9780520951365		fulltext		University of California Press	monograph	2012	2012						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2023-01-20	2021-01-01		Book		General Interest	current	133,95	eng	10.1525/9780520951365
A Carceral Ecology		9780520381834							https://www.degruyter.com/openurl?genre=book&isbn=9780520381834	Edwards	9780520381834		fulltext		University of California Press	monograph	2021	2021						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2023-01-20	2021-12-28		Book		Latin America	current	334,95	eng	10.1525/9780520381834
A Carnival of Parting		9780520911550							https://www.degruyter.com/openurl?genre=book&isbn=9780520911550		9780520911550		fulltext		University of California Press	monograph	1992	1992		Reprint 2019	Grodzins Gold			P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2022-11-21	2021-01-01		Book		General Interest	current	110,95	eng	10.1525/9780520911550
A Century of Dutch Manuscript Illumination		9780520321359							https://www.degruyter.com/openurl?genre=book&isbn=9780520321359	Delaisse	9780520321359		fulltext		University of California Press	monograph	1968	2020		Reprint 2020				P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2022-11-21	2021-01-01		Book	California studies in the history of art	General Interest	current	110,95	eng	10.1525/9780520321359
A Century of Violence in Soviet Russia		9780300149968							https://www.degruyter.com/openurl?genre=book&isbn=9780300149968		9780300149968		fulltext		Yale University Press	monograph	2002	2002						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2022-06-01	2021-01-01		Book		General European History	current	127,95	eng	10.12987/9780300149968
A Changing Wind		9780300206586							https://www.degruyter.com/openurl?genre=book&isbn=9780300206586		9780300206586		fulltext		Yale University Press	monograph	2014	2014						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2023-02-07	2021-01-01		Book		Global History	current	58,95	eng	10.12987/9780300206586
A Checklist of Host-Parasite Interactions of the Order Crocodylia		9780520957367							https://www.degruyter.com/openurl?genre=book&isbn=9780520957367	Tellez	9780520957367		fulltext		University of California Press	monograph	2014	2014						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2023-01-07	2021-01-01		Book	UC Publications in Zoology	Zoology	current	258,95	eng	10.1525/9780520957367
A Cheerful and Comfortable Faith		9780300168662							https://www.degruyter.com/openurl?genre=book&isbn=9780300168662	Winner	9780300168662		fulltext		Yale University Press	monograph	2010	2010						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2022-06-01	2021-01-01		Book		Global History	current	119,95	eng	10.12987/9780300168662
A Child of the Century		9780300253689							https://www.degruyter.com/openurl?genre=book&isbn=9780300253689		9780300253689		fulltext		Yale University Press	monograph	2020	2020						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2023-02-07	2021-01-01		Book		Architecture and Design, other    	current	48,95	eng	10.12987/9780300253689
A Chinese Bestiary		9780520922785							https://www.degruyter.com/openurl?genre=book&isbn=9780520922785		9780520922785		fulltext		University of California Press	monograph	2003	2002		Reprint 2019	Strassberg			P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2022-06-10	2021-01-01		Book		Architecture and Design, other    	current	352,95	eng	10.1525/9780520922785
A Chinese Look at Literature		9780520337015							https://www.degruyter.com/openurl?genre=book&isbn=9780520337015	Pollard	9780520337015		fulltext		University of California Press	monograph	1973	1973		Reprint 2019				P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2022-11-21	2021-01-01		Book		General Interest	current	110,95	eng	10.1525/9780520337015
A Chronicle of Damascus, 1389–1397 / The Arabic Text		9780520314658							https://www.degruyter.com/openurl?genre=book&isbn=9780520314658	Muhammad ibn Sasra	9780520314658		fulltext		University of California Press	monograph	1963	2021	2	Reprint 2020				P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2022-11-21	2021-07-05		Book		General Interest	current	110,95	eng	10.1525/9780520314658
A Coat of Many Colors		9780520341999							https://www.degruyter.com/openurl?genre=book&isbn=9780520341999	Freidin	9780520341999		fulltext		University of California Press	monograph	1987	2020		Reprint 2020				P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2022-11-21	2021-01-01		Book		General Interest	current	110,95	eng	10.1525/9780520341999
A Comedian and an Activist Walk into a Bar		9780520971356							https://www.degruyter.com/openurl?genre=book&isbn=9780520971356	Feldman	9780520971356		fulltext		University of California Press	monograph	2020	2020						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2023-01-20	2021-01-01		Book	Communication for Social Justice Activism	Media Theory	current	443,95	eng	10.1525/9780520971356
A Common Faith		9780300173468							https://www.degruyter.com/openurl?genre=book&isbn=9780300173468	Dewey	9780300173468		fulltext		Yale University Press	monograph	1960	1960						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2022-06-03	2021-01-01		Book		General Topics and Biblical Reception	current	22,95	eng	10.12987/9780300173468
A Common Sky		9780520315693							https://www.degruyter.com/openurl?genre=book&isbn=9780520315693	Nuttall	9780520315693		fulltext		University of California Press	monograph	1974	1974		Reprint 2019				P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2022-11-21	2021-01-01		Book		General Interest	current	110,95	eng	10.1525/9780520315693
A Companion to California		9780520341678							https://www.degruyter.com/openurl?genre=book&isbn=9780520341678	Hart	9780520341678		fulltext		University of California Press	monograph	1987	2021		Newly rev. and expanded ed., Reprint 2020				P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2022-11-21	2021-06-10		Book		General Interest	current	137,95	eng	10.1525/9780520341678
A Companion to Heidegger&#39;s &quot;Introduction to Metaphysics&quot;		9780300145571							https://www.degruyter.com/openurl?genre=book&isbn=9780300145571	Fried	9780300145571		fulltext		Yale University Press	monograph	2008	2001						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2022-06-01	2021-01-01		Book		Metaphysics, Ontology	current	117,95	eng	10.12987/9780300145571
A Companion to Piers Plowman		9780520908314							https://www.degruyter.com/openurl?genre=book&isbn=9780520908314		9780520908314		fulltext		University of California Press	monograph	1988	1988		Reprint 2019	Alford			P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2022-11-21	2021-01-01		Book		General Interest	current	110,95	eng	10.1525/9780520908314
A Companion to the Cantos of Ezra Pound		9780520340954							https://www.degruyter.com/openurl?genre=book&isbn=9780520340954	Terrell	9780520340954		fulltext		University of California Press	monograph	1984	1984		Reprint 2019				P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2022-11-21	2021-01-01		Book		General Interest	current	110,95	eng	10.1525/9780520340954
