publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	package_name	package_id	last_changed	access_start_date	access_end_date	medium	monograph_parent_collection_title	subject_area	status	listprice_eur	language	doi_identifier
A Literature Without Qualities		9780520332188							https://www.degruyter.com/openurl?genre=book&isbn=9780520332188	Berthoff	9780520332188		fulltext		University of California Press	monograph	1979	1979		Reprint 2019				P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2022-11-21	2021-01-01		Book	Quantum Books	Global History	current	110,95	eng	10.1525/9780520332188
A Little Book of Language		9780300158755							https://www.degruyter.com/openurl?genre=book&isbn=9780300158755	Crystal	9780300158755		fulltext		Yale University Press	monograph	2010	2010						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2022-06-01	2021-01-01		Book	Little Histories	Philosophy of Language	current	78,95	eng	10.12987/9780300158755
A Little History of Archaeology		9780300235289							https://www.degruyter.com/openurl?genre=book&isbn=9780300235289	Fagan	9780300235289		fulltext		Yale University Press	monograph	2018	2018						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2023-02-07	2021-01-01		Book	Little Histories	Sociology, other	current	48,95	eng	10.12987/9780300235289
A Little History of Art		9780300265538							https://www.degruyter.com/openurl?genre=book&isbn=9780300265538	Mullins	9780300265538		fulltext		Yale University Press	monograph	2022	2022						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2023-02-07	2022-06-30		Book	Little Histories	Arts, general	current	48,95	eng	10.12987/9780300265538
A Little History of Economics		9780300226317							https://www.degruyter.com/openurl?genre=book&isbn=9780300226317	Kishtainy	9780300226317		fulltext		Yale University Press	monograph	2017	2017						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2023-02-07	2021-01-01		Book	Little Histories	History of Economics	current	48,95	eng	10.12987/9780300226317
A Little History of Literature		9780300188363							https://www.degruyter.com/openurl?genre=book&isbn=9780300188363	Sutherland	9780300188363		fulltext		Yale University Press	monograph	2013	2013						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2022-06-01	2021-01-01		Book	Little Histories	Public and Political Communication	current	78,95	eng	10.12987/9780300188363
A Little History of Philosophy		9780300177541							https://www.degruyter.com/openurl?genre=book&isbn=9780300177541	Warburton	9780300177541		fulltext		Yale University Press	monograph	2011	2011						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2022-06-01	2021-01-01		Book	Little Histories	Philosophy, other	current	54,95	eng	10.12987/9780300177541
A Little History of Poetry		9780300252521							https://www.degruyter.com/openurl?genre=book&isbn=9780300252521	Carey	9780300252521		fulltext		Yale University Press	monograph	2020	2020						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2023-02-07	2021-01-01		Book	Little Histories	Poetics 	current	48,95	eng	10.12987/9780300252521
A Little History of Religion		9780300222142							https://www.degruyter.com/openurl?genre=book&isbn=9780300222142	Holloway	9780300222142		fulltext		Yale University Press	monograph	2016	2016						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2023-02-07	2021-01-01		Book	Little Histories	History of Religion 	current	48,95	eng	10.12987/9780300222142
A Little History of Science		9780300189421							https://www.degruyter.com/openurl?genre=book&isbn=9780300189421	Bynum	9780300189421		fulltext		Yale University Press	monograph	2012	2012						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2022-06-01	2021-01-01		Book	Little Histories	History of Science	current	78,95	eng	10.12987/9780300189421
A Little History of the United States		9780300182521							https://www.degruyter.com/openurl?genre=book&isbn=9780300182521	Davidson	9780300182521		fulltext		Yale University Press	monograph	2015	2015						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2023-02-07	2021-01-01		Book	Little Histories	Global History	current	48,95	eng	10.12987/9780300182521
A Little History of the World		9780300132076							https://www.degruyter.com/openurl?genre=book&isbn=9780300132076		9780300132076		fulltext		Yale University Press	monograph	2008	2008						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2022-06-01	2021-01-01		Book	Little Histories	Global History	current	36,95	eng	10.12987/9780300132076
A Living Man from Africa		9780300168594							https://www.degruyter.com/openurl?genre=book&isbn=9780300168594	Levine	9780300168594		fulltext		Yale University Press	monograph	2010	2010						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2022-06-01	2021-01-01		Book	New Directions in Narrative History	Miscellaneous	current	88,95	eng	10.12987/9780300168594
A Long, Dark Shadow		9780520973695							https://www.degruyter.com/openurl?genre=book&isbn=9780520973695	Walker	9780520973695		fulltext		University of California Press	monograph	2021	2021						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2023-01-20	2021-06-22		Book		Sociology, other	current	334,95	eng	10.1525/9780520973695
A Loss of Mastery		9780520338494							https://www.degruyter.com/openurl?genre=book&isbn=9780520338494	Gay	9780520338494		fulltext		University of California Press	monograph	1966	1966		Reprint 2019				P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2022-11-21	2021-01-01		Book	Jefferson Memorial Lectures	General Interest	current	110,95	eng	10.1525/9780520338494
A Madman of Ch’u		9780520316270							https://www.degruyter.com/openurl?genre=book&isbn=9780520316270	Schneider	9780520316270		fulltext		University of California Press	monograph	1980	1980		Reprint 2019				P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2022-11-21	2021-01-01		Book	Center for Chinese Studies, Publications	Global History	current	110,95	eng	10.1525/9780520316270
A Magic Still Dwells		9780520923867							https://www.degruyter.com/openurl?genre=book&isbn=9780520923867		9780520923867		fulltext		University of California Press	monograph	2000	2000		Reprint 2019	Ray			P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2022-06-10	2021-01-01		Book		Comparative Studies	current	443,95	eng	10.1525/9780520923867
A Malleable Map		9780520945807							https://www.degruyter.com/openurl?genre=book&isbn=9780520945807	Wigen	9780520945807		fulltext		University of California Press	monograph	2010	2010						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2023-01-20	2021-01-01		Book	Asia: Local Studies / Global Themes	Global History	current	334,95	eng	10.1525/9780520945807
A Man and His Presidents		9780300166897							https://www.degruyter.com/openurl?genre=book&isbn=9780300166897	Felzenberg	9780300166897		fulltext		Yale University Press	monograph	2017	2017						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2023-02-07	2021-01-01		Book		Political Science, other	current	68,95	eng	10.12987/9780300166897
A Man Without Words		9780520959316							https://www.degruyter.com/openurl?genre=book&isbn=9780520959316	Schaller	9780520959316		fulltext		University of California Press	monograph	2014	2014		2. ed.				P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2023-01-09	2021-01-01		Book		Social Anthropology	current	133,95	eng	10.1525/9780520959316
A Manifesto to the Mexican Republic		9780520348103							https://www.degruyter.com/openurl?genre=book&isbn=9780520348103		9780520348103		fulltext		University of California Press	monograph	1978	2021		Reprint 2020				P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2022-11-21	2021-07-05		Book		General Interest	current	110,95	eng	10.1525/9780520348103
A Manual of the Flowering Plants of California		9780520309494							https://www.degruyter.com/openurl?genre=book&isbn=9780520309494	Jepson	9780520309494		fulltext		University of California Press	monograph	1953	2020		Reprint 2020				P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2022-11-21	2021-01-01		Book		General Interest	current	163,95	eng	10.1525/9780520309494
A Man&#39;s Place		9780300143683							https://www.degruyter.com/openurl?genre=book&isbn=9780300143683	Tosh	9780300143683		fulltext		Yale University Press	monograph	2008	2008						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2022-06-01	2021-01-01		Book		Gender	current	88,95	eng	10.12987/9780300143683
A Map of Longings		9780300271539							https://www.degruyter.com/openurl?genre=book&isbn=9780300271539	Kapoor	9780300271539		fulltext		Yale University Press	monograph	2023	2023						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2023-02-15	2023-02-15		Book		Literary Studies, general	current	58,95	eng	
A Marginal Jew: Rethinking the Historical Jesus, Volume IV		9780300156027							https://www.degruyter.com/openurl?genre=book&isbn=9780300156027	Meier	9780300156027		fulltext		Yale University Press	monograph	2009	2009						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2022-06-01	2021-01-01		Book	The Anchor Yale Bible Reference Library	General Topics and Biblical Reception	current	127,95	eng	10.12987/9780300156027
A Marginal Jew: Rethinking the Historical Jesus, Volume V		9780300216479							https://www.degruyter.com/openurl?genre=book&isbn=9780300216479	Meier	9780300216479		fulltext		Yale University Press	monograph	2016	2016						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2023-02-07	2021-01-01		Book	The Anchor Yale Bible Reference Library	Hellenistic-Roman Era	current	127,95	eng	10.12987/9780300216479
A Marriage Made in Heaven		9780520311800							https://www.degruyter.com/openurl?genre=book&isbn=9780520311800	Seidman	9780520311800		fulltext		University of California Press	monograph	1997	1997		Reprint 2019				P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2022-11-21	2021-01-01		Book	Contraversions: Critical Studies in Jewish Literature, Culture, and Society	Introductions and Overviews	current	110,95	eng	10.1525/9780520311800
A Matter of Principle		9780520932166							https://www.degruyter.com/openurl?genre=book&isbn=9780520932166		9780520932166		fulltext		University of California Press	monograph	2005	2005			Cushman			P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2022-11-17	2021-01-01		Book		Sociology, other	current	334,95	eng	10.1525/9780520932166
A Medieval Italian Commune		9780520328556							https://www.degruyter.com/openurl?genre=book&isbn=9780520328556	Bowsky	9780520328556		fulltext		University of California Press	monograph	1981	2020		Reprint 2020				P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2022-11-21	2021-01-01		Book		General Interest	current	110,95	eng	10.1525/9780520328556
A Mere Machine		9780300199192							https://www.degruyter.com/openurl?genre=book&isbn=9780300199192	Harvey	9780300199192		fulltext		Yale University Press	monograph	2013	2013						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2022-06-01	2021-01-01		Book		Political Science, other	current	107,95	eng	10.12987/9780300199192
A Midsummer Night's Dream		9780300164824							https://www.degruyter.com/openurl?genre=book&isbn=9780300164824		9780300164824		fulltext		Yale University Press	monograph	2005	2005						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2022-06-01	2021-01-01		Book	The Annotated Shakespeare	Literary Studies, general	current	13,95	eng	10.12987/9780300164824
A Ming Society		9780520323032							https://www.degruyter.com/openurl?genre=book&isbn=9780520323032	Dardess	9780520323032		fulltext		University of California Press	monograph	1996	2020		Reprint 2020				P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2022-11-21	2021-01-01		Book		General Interest	current	110,95	eng	10.1525/9780520323032
A Mother&#39;s Work		9780300145090							https://www.degruyter.com/openurl?genre=book&isbn=9780300145090	Gilbert	9780300145090		fulltext		Yale University Press	monograph	2008	2008						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2022-06-01	2021-01-01		Book		Sociology, other	current	78,95	eng	10.12987/9780300145090
A Murderous Midsummer		9780300269079							https://www.degruyter.com/openurl?genre=book&isbn=9780300269079	Stoyle	9780300269079		fulltext		Yale University Press	monograph	2022	2022						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2023-02-07	2022-08-23		Book		Western Europe	current	127,95	eng	
A Nation of Emigrants		9780520942479							https://www.degruyter.com/openurl?genre=book&isbn=9780520942479	FitzGerald	9780520942479		fulltext		University of California Press	monograph	2008	2008						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2023-01-20	2021-01-01		Book		Sociology of Migration	current	334,95	eng	10.1525/9780520942479
A Nation of Empire		9780520929128							https://www.degruyter.com/openurl?genre=book&isbn=9780520929128	Meeker	9780520929128		fulltext		University of California Press	monograph	2002	2002						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2023-01-09	2021-01-01		Book		Social Anthropology	current	334,95	eng	10.1525/9780520929128
A Nation of Provincials		9780520335783							https://www.degruyter.com/openurl?genre=book&isbn=9780520335783	Applegate	9780520335783		fulltext		University of California Press	monograph	1990	2020		Reprint 2020				P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2022-11-21	2021-01-01		Book		General Interest	current	110,95	eng	10.1525/9780520335783
A Natural History of Beer		9780300244984							https://www.degruyter.com/openurl?genre=book&isbn=9780300244984	Tattersall	9780300244984		fulltext		Yale University Press	monograph	2019	2019						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2023-02-07	2021-01-01		Book		General Interest	current	54,95	eng	10.12987/9780300244984
A Natural History of California		9780520964556							https://www.degruyter.com/openurl?genre=book&isbn=9780520964556	Schoenherr	9780520964556		fulltext		University of California Press	monograph	2017	2017		2. ed.				P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2023-01-20	2021-01-01		Book		Life Sciences, other	current	495,95	eng	10.1525/9780520964556
A Natural History of Wine		9780300216608							https://www.degruyter.com/openurl?genre=book&isbn=9780300216608	Tattersall	9780300216608		fulltext		Yale University Press	monograph	2015	2015						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2023-02-07	2021-01-01		Book		General Interest	current	58,95	eng	10.12987/9780300216608
A Naturalist on a Tropical Farm		9780520319974							https://www.degruyter.com/openurl?genre=book&isbn=9780520319974		9780520319974		fulltext		University of California Press	monograph	1980	2021		Reprint 2020				P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2022-11-21	2021-02-25		Book		General Interest	current	110,95	eng	10.1525/9780520319974
A New Approach to Joyce		9780520376106							https://www.degruyter.com/openurl?genre=book&isbn=9780520376106	Ryf	9780520376106		fulltext		University of California Press	monograph	1962	2020		2nd printing, Reprint 2020				P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2022-11-21	2021-01-01		Book		General Interest	current	332	eng	10.1525/9780520376106
A New History of Early Christianity		9780300166583							https://www.degruyter.com/openurl?genre=book&isbn=9780300166583	Freeman	9780300166583		fulltext		Yale University Press	monograph	2009	2009						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2022-06-01	2021-01-01		Book		Denominational Studies, Ecumenism, World Christianity	current	78,95	eng	10.12987/9780300166583
A New History of Modern Latin America		9780520963825							https://www.degruyter.com/openurl?genre=book&isbn=9780520963825	Conniff	9780520963825		fulltext		University of California Press	monograph	2017	2017		3. ed.				P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2023-01-20	2021-01-01		Book		Latin America	current	263,95	eng	10.1525/9780520963825
A New Hymnal for Colleges and Schools		9780300150520							https://www.degruyter.com/openurl?genre=book&isbn=9780300150520		9780300150520		fulltext		Yale University Press	monograph	1992	1992			Harshav			P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2022-06-03	2021-01-01		Book		Genres, other	current	97,95	eng	10.12987/9780300150520
A New World in a Small Place		9780520310292							https://www.degruyter.com/openurl?genre=book&isbn=9780520310292		9780520310292		fulltext		University of California Press	monograph	1994	2020		“A Centennial book.” , Reprint 2020				P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2022-11-21	2021-01-01		Book		General Interest	current	123,95	eng	10.1525/9780520310292
A Party for Lazarus		9780520974111							https://www.degruyter.com/openurl?genre=book&isbn=9780520974111	Ochoa	9780520974111		fulltext		University of California Press	monograph	2020	2020						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2023-01-20	2021-01-01		Book		Biological Anthropology	current	334,95	eng	10.1525/9780520974111
A Passion for Facts		9780520950351							https://www.degruyter.com/openurl?genre=book&isbn=9780520950351	Lam	9780520950351		fulltext		University of California Press	monograph	2011	2011						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2023-01-20	2021-01-01		Book	Asia Pacific Modern	Global History	current	334,95	eng	10.1525/9780520950351
A Passion for Polka		9780520911727							https://www.degruyter.com/openurl?genre=book&isbn=9780520911727	Greene	9780520911727		fulltext		University of California Press	monograph	1992	2020		Reprint 2020				P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2022-11-21	2021-01-01		Book		General Interest	current	110,95	eng	10.1525/9780520911727
A Passion for Society		9780520962408							https://www.degruyter.com/openurl?genre=book&isbn=9780520962408	Wilkinson	9780520962408		fulltext		University of California Press	monograph	2016	2016						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2023-01-20	2021-01-01		Book	California Series in Public Anthropology	Social Anthropology	current	334,95	eng	10.1525/9780520962408
A Past of Possibilities		9780300262858							https://www.degruyter.com/openurl?genre=book&isbn=9780300262858	Deluermoz	9780300262858		fulltext		Yale University Press	monograph	2021	2021						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2023-02-07	2021-12-21		Book		Miscellaneous	current	78,95	eng	10.12987/9780300262858
A Path in the Mighty Waters		9780300210255							https://www.degruyter.com/openurl?genre=book&isbn=9780300210255	Berry	9780300210255		fulltext		Yale University Press	monograph	2015	2015						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2023-02-07	2021-01-01		Book		Modern History 	current	78,95	eng	10.12987/9780300210255
A People's Guide to Greater Boston		9780520967571							https://www.degruyter.com/openurl?genre=book&isbn=9780520967571	Nevins	9780520967571		fulltext		University of California Press	monograph	2020	2020						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2023-01-20	2021-01-01		Book	A People's Guide Series	Exile History	current	133,95	eng	10.1525/9780520967571
A People's Guide to Los Angeles		9780520953345							https://www.degruyter.com/openurl?genre=book&isbn=9780520953345	Barraclough	9780520953345		fulltext		University of California Press	monograph	2012	2012						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2023-01-09	2021-01-01		Book	A People's Guide Series	Exile History	current	133,95	eng	10.1525/9780520953345
A People's Guide to New York City		9780520964150							https://www.degruyter.com/openurl?genre=book&isbn=9780520964150	Bank Muñoz	9780520964150		fulltext		University of California Press	monograph	2022	2022						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2023-01-07	2022-01-25		Book	A People's Guide Series	Miscellaneous	current	133,95	eng	10.1525/9780520964150
A People's Guide to Orange County		9780520971554							https://www.degruyter.com/openurl?genre=book&isbn=9780520971554	Lewinnek	9780520971554		fulltext		University of California Press	monograph	2022	2022						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2023-01-20	2022-01-25		Book	A People's Guide Series	Miscellaneous	current	133,95	eng	10.1525/9780520971554
A People's Guide to the San Francisco Bay Area		9780520963320							https://www.degruyter.com/openurl?genre=book&isbn=9780520963320	Brahinsky	9780520963320		fulltext		University of California Press	monograph	2020	2020						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2023-01-07	2021-01-01		Book	A People's Guide Series	Miscellaneous	current	133,95	eng	10.1525/9780520963320
A People's History of SFO		9780520977075							https://www.degruyter.com/openurl?genre=book&isbn=9780520977075	Porter	9780520977075		fulltext		University of California Press	monograph	2023	2023						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2023-02-20	2023-01-03		Book		Global History	current	159,95	eng	
A Philosophy of Second Language Acquisition		9780300129410							https://www.degruyter.com/openurl?genre=book&isbn=9780300129410	Johnson	9780300129410		fulltext		Yale University Press	monograph	2008	2008						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2022-06-01	2021-01-01		Book	Yale Language Series	Philosophy of Language	current	109,95	eng	10.12987/9780300129410
A Piece of the Pie		9780520352865							https://www.degruyter.com/openurl?genre=book&isbn=9780520352865	Lieberson	9780520352865		fulltext		University of California Press	monograph	1980	2020		Reprint 2020				P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2022-11-21	2021-01-01		Book		General Interest	current	110,95	eng	10.1525/9780520352865
A Place at the Nayarit		9780520385498							https://www.degruyter.com/openurl?genre=book&isbn=9780520385498	Molina	9780520385498		fulltext		University of California Press	monograph	2022	2022						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2023-01-20	2022-04-19		Book		Global History	current	159,95	eng	10.1525/9780520385498
A Plague of Informers		9780300199284							https://www.degruyter.com/openurl?genre=book&isbn=9780300199284	Weil	9780300199284		fulltext		Yale University Press	monograph	2014	2014						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2023-02-07	2021-01-01		Book	The Lewis Walpole Series in Eighteenth-Century Culture and History	General European History	current	78,95	eng	10.12987/9780300199284
A Poem at the Right Moment		9780520313859							https://www.degruyter.com/openurl?genre=book&isbn=9780520313859		9780520313859		fulltext		University of California Press	monograph	1998	1998		Reprint 2019	Shulman			P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2022-11-21	2021-01-01		Book	Voices from Asia	Other Nations and Languages	current	110,95	eng	10.1525/9780520313859
A Poet's Revolution		9780520954786							https://www.degruyter.com/openurl?genre=book&isbn=9780520954786	Hollenberg	9780520954786		fulltext		University of California Press	monograph	2013	2013						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2023-01-07	2021-01-01		Book		Poetics 	current	237,95	eng	10.1525/9780520954786
A Portrait of America		9780520959101							https://www.degruyter.com/openurl?genre=book&isbn=9780520959101	Iceland	9780520959101		fulltext		University of California Press	monograph	2014	2014						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2023-01-20	2021-01-01		Book	Sociology in the Twenty-First Century	Social Structures, Social Interaction, Population, Social Anthropology	current	443,95	eng	10.1525/9780520959101
A Portrait of Mendelssohn		9780300127867							https://www.degruyter.com/openurl?genre=book&isbn=9780300127867	Brown	9780300127867		fulltext		Yale University Press	monograph	2008	2008						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2022-06-01	2021-01-01		Book		Music, general	current	161,95	eng	10.12987/9780300127867
A Practical Companion to the Constitution		9780520340657							https://www.degruyter.com/openurl?genre=book&isbn=9780520340657	Lieberman	9780520340657		fulltext		University of California Press	monograph	1999	1999		Reprint 2019				P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2022-11-21	2021-01-01		Book		General Interest	current	163,95	eng	10.1525/9780520340657
A Preface to Economic Democracy		9780520341166							https://www.degruyter.com/openurl?genre=book&isbn=9780520341166	Dahl	9780520341166		fulltext		University of California Press	monograph	1985	1985		Reprint 2019				P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2022-11-21	2021-01-01		Book		General Interest	current	110,95	eng	10.1525/9780520341166
A Primer for Environmental Literacy		9780300194333							https://www.degruyter.com/openurl?genre=book&isbn=9780300194333	Gorky	9780300194333		fulltext		Yale University Press	monograph	2003	2003						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2022-06-01	2021-01-01		Book		Green and Sustainable Technology	current	113,95	eng	10.12987/9780300194333
A Problem of Presence		9780520940048							https://www.degruyter.com/openurl?genre=book&isbn=9780520940048	Engelke	9780520940048		fulltext		University of California Press	monograph	2007	2007						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2023-01-20	2021-01-01		Book	The Anthropology of Christianity	Social Anthropology	current	334,95	eng	10.1525/9780520940048
A Prophet Has Appeared		9780520971271							https://www.degruyter.com/openurl?genre=book&isbn=9780520971271	Shoemaker	9780520971271		fulltext		University of California Press	monograph	2021	2021						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2023-01-20	2021-03-02		Book		Interreligious Studies	current	469,95	eng	10.1525/9780520971271
A Proximate Remove		9780520382558							https://www.degruyter.com/openurl?genre=book&isbn=9780520382558	Jackson	9780520382558		fulltext		University of California Press	monograph	2021	2021						F	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2023-03-01	2021-06-22		Book	New Interventions in Japanese Studies	Other Nations and Languages	current		eng	10.1515/9780520382558
A Queer Way of Feeling		9780520971295							https://www.degruyter.com/openurl?genre=book&isbn=9780520971295	Anselmo	9780520971295		fulltext		University of California Press	monograph	2023	2023						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2023-02-20	2023-02-06		Book	Feminist Media Histories	Media Theory	current	334,95	eng	
A Quest for Time		9780520335530							https://www.degruyter.com/openurl?genre=book&isbn=9780520335530	Cross	9780520335530		fulltext		University of California Press	monograph	1989	2020		Reprint 2020				P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2022-11-21	2021-01-01		Book		General Interest	current	110,95	eng	10.1525/9780520335530
A Question of Balance		9780300165982							https://www.degruyter.com/openurl?genre=book&isbn=9780300165982	Nordhaus	9780300165982		fulltext		Yale University Press	monograph	2008	2008						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2022-06-01	2021-01-01		Book		Ecology	current	78,95	eng	10.12987/9780300165982
A Question of Balance		9780520920132							https://www.degruyter.com/openurl?genre=book&isbn=9780520920132	Greer	9780520920132		fulltext		University of California Press	monograph	1998	2020		Reprint 2020				P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2022-11-21	2021-01-01		Book		General Interest	current	110,95	eng	10.1525/9780520920132
A Question of Command		9780300156010							https://www.degruyter.com/openurl?genre=book&isbn=9780300156010	Moyar	9780300156010		fulltext		Yale University Press	monograph	2009	2009						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2022-06-01	2021-01-01		Book	Yale Library of Military History	Miscellaneous	current	58,95	eng	10.12987/9780300156010
A Question of Freedom		9780300256277							https://www.degruyter.com/openurl?genre=book&isbn=9780300256277	Thomas	9780300256277		fulltext		Yale University Press	monograph	2020	2020						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2023-02-07	2021-01-01		Book		Global History	current	68,95	eng	10.12987/9780300256277
