publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	package_id	status	last_changed
Advanced Optical Technologies	2192-8576	2192-8584	2012-02-01	1	1-2				https://www.degruyter.com/openurl?genre=journal&issn=2192-8584		2192-8584		fulltext		De Gruyter	serial								P	CJPSTME23	current	2022-12-02
Advances in Calculus of Variations	1864-8258	1864-8266	2008-01-25	1	1				https://www.degruyter.com/openurl?genre=journal&issn=1864-8266		1864-8266		fulltext		De Gruyter	serial								P	CJPSTME23	current	2022-12-02
Advances in Geometry 	1615-715X	1615-7168	2001-03-01	1	1				https://www.degruyter.com/openurl?genre=journal&issn=1615-7168		1615-7168		fulltext		De Gruyter	serial								P	CJPSTME23	current	2022-12-02
American Mineralogist	0003-004X	1945-3027	1995-01-20	80	1-2				https://www.degruyter.com/openurl?genre=journal&issn=1945-3027		1945-3027		fulltext		De Gruyter	serial								P	CJPSTME23	current	2022-12-02
Analysis	0174-4747	2196-6753	1995-03-15	15	1				https://www.degruyter.com/openurl?genre=journal&issn=2196-6753		2196-6753		fulltext		Oldenbourg Wissenschaftsverlag	serial								P	CJPSTME23	current	2022-12-02
Biological Chemistry	1431-6730	1437-4315	1995-01-01	380	1				https://www.degruyter.com/openurl?genre=journal&issn=1437-4315		1437-4315		fulltext		De Gruyter	serial								P	CJPSTME23	current	2022-12-02
Biomedical Engineering / Biomedizinische Technik 	0013-5585	1862-278X	1995-01-01	40	1				https://www.degruyter.com/openurl?genre=journal&issn=1862-278X		1862-278X		fulltext		De Gruyter	serial								P	CJPSTME23	current	2022-12-02
Botanica Marina	0006-8055	1437-4323	1995-01-01	38	Jan				https://www.degruyter.com/openurl?genre=journal&issn=1437-4323		1437-4323		fulltext		De Gruyter	serial								P	CJPSTME23	current	2022-12-02
Chemical Product and Process Modeling	2194-6159	1934-2659	2006-05-01	1	1				https://www.degruyter.com/openurl?genre=journal&issn=1934-2659		1934-2659		fulltext		De Gruyter	serial								P	CJPSTME23	current	2022-12-02
Chemistry International	0193-6484	1365-2192	1997-06-20	19	4				https://www.degruyter.com/openurl?genre=journal&issn=1365-2192		1365-2192		fulltext		De Gruyter	serial								F	CJPSTME23	current	2022-12-02
